sample_number,filename
0917,S-58_S917_R2_001.fastq.gz
0918,S-124-rep_S918_R1_001.fastq.gz
0918,S-124-rep_S918_R2_001.fastq.gz
0919,S-130-rep_S919_R1_001.fastq.gz
0919,S-130-rep_S919_R2_001.fastq.gz
0920,S-20-rep_S920_R1_001.fastq.gz
0920,S-20-rep_S920_R2_001.fastq.gz
0921,S-53_S921_R1_001.fastq.gz
0921,S-53_S921_R2_001.fastq.gz
0922,S-138_S922_R1_001.fastq.gz
0922,S-138_S922_R2_001.fastq.gz
0923,S-140_S923_R1_001.fastq.gz
0923,S-140_S923_R2_001.fastq.gz
0924,S-62-rep_S924_R1_001.fastq.gz
0924,S-62-rep_S924_R2_001.fastq.gz
0925,S-71-rep_S925_R1_001.fastq.gz
0925,S-71-rep_S925_R2_001.fastq.gz
0926,S-92-rep_S926_R1_001.fastq.gz
0926,S-92-rep_S926_R2_001.fastq.gz
0927,S-79_S927_R1_001.fastq.gz
0927,S-79_S927_R2_001.fastq.gz
0928,S-82-rep_S928_R1_001.fastq.gz
0928,S-82-rep_S928_R2_001.fastq.gz
0929,S-73-rep_S929_R1_001.fastq.gz
0929,S-73-rep_S929_R2_001.fastq.gz
0930,S-65-rep_S930_R1_001.fastq.gz
0930,S-65-rep_S930_R2_001.fastq.gz
0931,S-134-rep_S931_R1_001.fastq.gz
0931,S-134-rep_S931_R2_001.fastq.gz
0932,S-100_S932_R1_001.fastq.gz
0932,S-100_S932_R2_001.fastq.gz
0933,S-89-rep_S933_R1_001.fastq.gz
0933,S-89-rep_S933_R2_001.fastq.gz
0934,S-22_S934_R1_001.fastq.gz
0934,S-22_S934_R2_001.fastq.gz
0935,S-120-rep_S935_R1_001.fastq.gz
0935,S-120-rep_S935_R2_001.fastq.gz
0936,S-110_S936_R1_001.fastq.gz
0936,S-110_S936_R2_001.fastq.gz
0937,S-114_S937_R1_001.fastq.gz
0937,S-114_S937_R2_001.fastq.gz
0938,S-112_S938_R1_001.fastq.gz
0938,S-112_S938_R2_001.fastq.gz
0939,S-108_S939_R1_001.fastq.gz
0939,S-108_S939_R2_001.fastq.gz
0940,S-121-rep_S940_R1_001.fastq.gz
0940,S-121-rep_S940_R2_001.fastq.gz
0951,12B-2021-pool3_S951_R1_001.fastq.gz
0951,12B-2021-pool3_S951_R2_001.fastq.gz
0997,10-R-2021-pool1_S997_R1_001.fastq.gz
0997,10-R-2021-pool1_S997_R2_001.fastq.gz
1019,10-S-2021-pool2_S1019_R1_001.fastq.gz
1019,10-S-2021-pool2_S1019_R2_001.fastq.gz
1030,12A-2021-pool3_S1030_R1_001.fastq.gz
1030,12A-2021-pool3_S1030_R2_001.fastq.gz
